2026-05-02 10:56:57,858 | finlancer-agency | INFO | === ROTINA DIÁRIA — 2026-05-02 ===
2026-05-02 14:33:55,603 | agents.brand_director | INFO | Imagem de referência selecionada: Screenshot_1.png
2026-05-02 14:33:55,603 | finlancer-agency | INFO | Referencia UGC selecionada: Screenshot_1.png
2026-05-02 14:33:55,603 | finlancer-agency | INFO | Iniciando geracao de clipes Veo 3 (referencia: Screenshot_1.png)...
2026-05-02 14:33:55,625 | agents.ugc_video_generator | INFO | Imagem de referência carregada: Screenshot_1.png
2026-05-02 14:33:55,625 | agents.ugc_video_generator | INFO | Claude gerando prompts Veo 3...
2026-05-02 14:34:03,731 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-05-02 14:34:03,732 | agents.base_agent | INFO | [Finlancer Visual Content Creator] Resposta gerada (2594 chars)
2026-05-02 14:34:07,638 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/imagen-4.0-fast-generate-001:predict "HTTP/1.1 200 OK"
2026-05-02 14:34:08,632 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-05-02 14:34:08,633 | agents.base_agent | INFO | [Finlancer UGC Video Generator] Resposta gerada (2428 chars)
2026-05-02 14:34:08,703 | agents.image_generator | INFO | Imagem salva: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\slides\slide-01.png
2026-05-02 14:34:09,788 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-3.0-generate-001:predictLongRunning "HTTP/1.1 400 Bad Request"
2026-05-02 14:34:09,790 | agents.ugc_video_generator | WARNING | Clipe 1 submit com veo-3.0-generate-001 falhou: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The number value for `durationSeconds` is out of bound. Please provide a value between 4 and 8, inclusive.', 'status': 'INVALID_ARGUMENT'}}
2026-05-02 14:34:09,814 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-3.0-generate-001:predictLongRunning "HTTP/1.1 400 Bad Request"
2026-05-02 14:34:09,816 | agents.ugc_video_generator | WARNING | Clipe 2 submit com veo-3.0-generate-001 falhou: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The number value for `durationSeconds` is out of bound. Please provide a value between 4 and 8, inclusive.', 'status': 'INVALID_ARGUMENT'}}
2026-05-02 14:34:10,437 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-3.0-generate-001:predictLongRunning "HTTP/1.1 400 Bad Request"
2026-05-02 14:34:10,439 | agents.ugc_video_generator | WARNING | Clipe 3 submit com veo-3.0-generate-001 falhou: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The number value for `durationSeconds` is out of bound. Please provide a value between 4 and 8, inclusive.', 'status': 'INVALID_ARGUMENT'}}
2026-05-02 14:34:10,455 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-3.0-generate-001:predictLongRunning "HTTP/1.1 400 Bad Request"
2026-05-02 14:34:10,456 | agents.ugc_video_generator | WARNING | Clipe 4 submit com veo-3.0-generate-001 falhou: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The number value for `durationSeconds` is out of bound. Please provide a value between 4 and 8, inclusive.', 'status': 'INVALID_ARGUMENT'}}
2026-05-02 14:34:11,087 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-3.0-generate-001:predictLongRunning "HTTP/1.1 200 OK"
2026-05-02 14:34:11,089 | agents.ugc_video_generator | INFO | Clipe 5/5 (CTA) submetido — aguardando Veo...
2026-05-02 14:34:11,546 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001:predictLongRunning "HTTP/1.1 200 OK"
2026-05-02 14:34:11,548 | agents.ugc_video_generator | INFO | Clipe 2/5 (DEV 1) submetido — aguardando Veo...
2026-05-02 14:34:11,550 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001:predictLongRunning "HTTP/1.1 200 OK"
2026-05-02 14:34:11,553 | agents.ugc_video_generator | INFO | Clipe 1/5 (GANCHO) submetido — aguardando Veo...
2026-05-02 14:34:11,673 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001:predictLongRunning "HTTP/1.1 429 Too Many Requests"
2026-05-02 14:34:11,675 | agents.ugc_video_generator | WARNING | Clipe 4 submit com veo-2.0-generate-001 falhou: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. ', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}]}}
2026-05-02 14:34:11,675 | agents.ugc_video_generator | ERROR | Clipe 4: nenhum modelo aceitou o submit.
2026-05-02 14:34:11,676 | agents.ugc_video_generator | INFO | Clipe 4 — retry 1 com prompt simplificado
2026-05-02 14:34:12,198 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001:predictLongRunning "HTTP/1.1 200 OK"
2026-05-02 14:34:12,200 | agents.ugc_video_generator | INFO | Clipe 3/5 (DEV 2) submetido — aguardando Veo...
2026-05-02 14:34:12,212 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/imagen-4.0-fast-generate-001:predict "HTTP/1.1 200 OK"
2026-05-02 14:34:12,723 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-3.0-generate-001:predictLongRunning "HTTP/1.1 400 Bad Request"
2026-05-02 14:34:12,725 | agents.ugc_video_generator | WARNING | Clipe 4 submit com veo-3.0-generate-001 falhou: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The number value for `durationSeconds` is out of bound. Please provide a value between 4 and 8, inclusive.', 'status': 'INVALID_ARGUMENT'}}
2026-05-02 14:34:13,168 | agents.image_generator | INFO | Imagem salva: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\slides\slide-02.png
2026-05-02 14:34:13,921 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001:predictLongRunning "HTTP/1.1 429 Too Many Requests"
2026-05-02 14:34:13,923 | agents.ugc_video_generator | WARNING | Clipe 4 submit com veo-2.0-generate-001 falhou: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. ', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}]}}
2026-05-02 14:34:13,923 | agents.ugc_video_generator | ERROR | Clipe 4: nenhum modelo aceitou o submit.
2026-05-02 14:34:13,923 | agents.ugc_video_generator | INFO | Clipe 4 — retry 2 com prompt simplificado
2026-05-02 14:34:14,984 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-3.0-generate-001:predictLongRunning "HTTP/1.1 400 Bad Request"
2026-05-02 14:34:14,985 | agents.ugc_video_generator | WARNING | Clipe 4 submit com veo-3.0-generate-001 falhou: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The number value for `durationSeconds` is out of bound. Please provide a value between 4 and 8, inclusive.', 'status': 'INVALID_ARGUMENT'}}
2026-05-02 14:34:16,177 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001:predictLongRunning "HTTP/1.1 429 Too Many Requests"
2026-05-02 14:34:16,178 | agents.ugc_video_generator | WARNING | Clipe 4 submit com veo-2.0-generate-001 falhou: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. ', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}]}}
2026-05-02 14:34:16,179 | agents.ugc_video_generator | ERROR | Clipe 4: nenhum modelo aceitou o submit.
2026-05-02 14:34:17,375 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/imagen-4.0-fast-generate-001:predict "HTTP/1.1 200 OK"
2026-05-02 14:34:18,396 | agents.image_generator | INFO | Imagem salva: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\slides\slide-03.png
2026-05-02 14:34:22,068 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/imagen-4.0-fast-generate-001:predict "HTTP/1.1 200 OK"
2026-05-02 14:34:23,020 | agents.image_generator | INFO | Imagem salva: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\slides\slide-04.png
2026-05-02 14:34:23,399 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-3.0-generate-001/operations/e5vhfp6u8ze3 "HTTP/1.1 200 OK"
2026-05-02 14:34:24,274 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001/operations/347h3tnobsov "HTTP/1.1 200 OK"
2026-05-02 14:34:24,733 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001/operations/4ynv1kmy1wpo "HTTP/1.1 200 OK"
2026-05-02 14:34:24,819 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001/operations/jh8g62dj722p "HTTP/1.1 200 OK"
2026-05-02 14:34:35,728 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-3.0-generate-001/operations/e5vhfp6u8ze3 "HTTP/1.1 200 OK"
2026-05-02 14:34:36,508 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001/operations/347h3tnobsov "HTTP/1.1 200 OK"
2026-05-02 14:34:37,133 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001/operations/jh8g62dj722p "HTTP/1.1 200 OK"
2026-05-02 14:34:37,173 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001/operations/4ynv1kmy1wpo "HTTP/1.1 200 OK"
2026-05-02 14:34:44,504 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/imagen-4.0-fast-generate-001:predict "HTTP/1.1 200 OK"
2026-05-02 14:34:45,466 | agents.image_generator | INFO | Imagem salva: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\slides\slide-05.png
2026-05-02 14:34:48,031 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-3.0-generate-001/operations/e5vhfp6u8ze3 "HTTP/1.1 200 OK"
2026-05-02 14:34:48,711 | agents.ugc_video_generator | ERROR | Clipe 5 falhou inesperadamente: HTTP Error 403: Forbidden
2026-05-02 14:34:49,146 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001/operations/347h3tnobsov "HTTP/1.1 200 OK"
2026-05-02 14:34:49,624 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001/operations/4ynv1kmy1wpo "HTTP/1.1 200 OK"
2026-05-02 14:34:49,827 | agents.ugc_video_generator | ERROR | Clipe 2 falhou inesperadamente: HTTP Error 403: Forbidden
2026-05-02 14:34:49,885 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/imagen-4.0-fast-generate-001:predict "HTTP/1.1 200 OK"
2026-05-02 14:34:50,015 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001/operations/jh8g62dj722p "HTTP/1.1 200 OK"
2026-05-02 14:34:50,691 | agents.ugc_video_generator | ERROR | Clipe 1 falhou inesperadamente: HTTP Error 403: Forbidden
2026-05-02 14:34:50,901 | agents.image_generator | INFO | Imagem salva: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\slides\slide-06.png
2026-05-02 14:34:55,413 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/imagen-4.0-fast-generate-001:predict "HTTP/1.1 200 OK"
2026-05-02 14:34:56,366 | agents.image_generator | INFO | Imagem salva: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\slides\slide-07.png
2026-05-02 14:35:02,387 | httpx | INFO | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/veo-2.0-generate-001/operations/4ynv1kmy1wpo "HTTP/1.1 200 OK"
2026-05-02 14:35:03,561 | agents.ugc_video_generator | ERROR | Clipe 3 falhou inesperadamente: HTTP Error 403: Forbidden
2026-05-02 14:35:03,562 | agents.ugc_video_generator | INFO | UGC concluído: 0/5 clipes gerados.
2026-05-02 14:35:28,574 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/imagen-4.0-fast-generate-001:predict "HTTP/1.1 200 OK"
2026-05-02 14:35:29,532 | agents.image_generator | INFO | Imagem salva: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\slides\slide-08.png
2026-05-02 14:35:29,532 | finlancer-agency | INFO | Slides gerados: 8/8
2026-05-02 14:35:32,368 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-05-02 14:35:32,369 | agents.base_agent | INFO | [Finlancer Visual Content Creator] Resposta gerada (365 chars)
2026-05-02 14:35:36,696 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/imagen-4.0-fast-generate-001:predict "HTTP/1.1 200 OK"
2026-05-02 14:35:37,637 | agents.image_generator | INFO | Imagem salva: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\feed-post.png
2026-05-02 14:35:37,637 | finlancer-agency | INFO | FASE 4: Aprovacao Final — Brand Director
2026-05-02 14:35:37,637 | finlancer-agency | INFO | Brand Director concluiu revisao
2026-05-02 14:35:37,637 | finlancer-agency | INFO | FASE 5: Salvando outputs
2026-05-02 14:35:37,644 | tools.output_manager | INFO | Salvo [instagram_legenda]: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\legenda-reel.md
2026-05-02 14:35:37,648 | tools.output_manager | INFO | Salvo [instagram_carrossel_textos]: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\carrossel-textos.md
2026-05-02 14:35:37,652 | tools.output_manager | INFO | Salvo [instagram_engagement]: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\engagement-dicas.md
2026-05-02 14:35:37,655 | tools.output_manager | INFO | Salvo [tiktok_legenda]: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\tiktok\legenda-video.md
2026-05-02 14:35:37,659 | tools.output_manager | INFO | Salvo [tiktok_engagement]: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\tiktok\engagement-dicas.md
2026-05-02 14:35:37,662 | tools.output_manager | INFO | Salvo [youtube_legenda]: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\youtube\titulo-descricao.md
2026-05-02 14:35:37,666 | tools.output_manager | INFO | Salvo [facebook_legenda]: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\facebook\legenda-video.md
2026-05-02 14:35:37,670 | tools.output_manager | INFO | Salvo [facebook_storytelling]: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\facebook\storytelling.md
2026-05-02 14:35:37,673 | tools.output_manager | INFO | Salvo [facebook_engagement]: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\facebook\engagement-dicas.md
2026-05-02 14:35:37,677 | tools.output_manager | INFO | Salvo [video_master]: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\video-criativo\producao-roteiro.md
2026-05-02 14:35:37,680 | tools.output_manager | INFO | Salvo [visual_concept]: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\instagram\visual-conceito.md
2026-05-02 14:35:37,684 | tools.output_manager | INFO | Narração UGC salva: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\videos\ugc\narracao-edicao.md
2026-05-02 14:35:37,687 | tools.output_manager | INFO | Índice de mídia salvo: C:\Users\Juan\Downloads\Finlancer\Código\fin-liberta\finlancer-marketing-agency\output\2026-05-02_143030\MIDIA-INDEX.md
